epoch,mse,theta1,theta2,theta3,theta4
1,0.005785016165400983,1.5485402819082446,1.4500036297621597,1.5000124655354476,1.4953213996394688
2,0.005100335386489873,1.596878584900747,1.400113607915345,1.500024342224652,1.4908184403214217
3,0.004461786815296373,1.6448953510469007,1.3504124311190684,1.50003561407632,1.4864990625598058
4,0.0038703110724678906,1.69,1.3009923722597128,1.5000462658242377,1.482374251699665
5,0.00332899224057892,1.69,1.25195459208075,1.5000562868035907,1.4784524653685016
6,0.0028738347704506443,1.69,1.2033786528776282,1.500065723402181,1.47472440776383
7,0.0024562922422548964,1.69,1.1553605565093514,1.5000745959940807,1.471187167658344
8,0.0020764138219644427,1.69,1.1080096694119843,1.5000829122400718,1.4678408951012611
9,0.0017340862514400438,1.69,1.0614474530479545,1.5000906730920445,1.4646872854643505
10,0.0014291081317935426,1.69,1.0158261694308253,1.5000978759114547,1.4617287805976533
11,0.001161617657947846,1.69,0.9713049891921349,1.5001045165150986,1.4589680456590968
12,0.0009310731695276089,1.69,0.9280463983155707,1.5001105904846022,1.45640762446876
13,0.0007359766063384066,1.69,0.8862148826197902,1.5001160939573577,1.4540497129327217
14,0.0005742426178349301,1.69,0.8459752280326874,1.5001210241377159,1.451895998527212
15,0.00044348490055826225,1.69,0.8074902267740268,1.5001253796881957,1.4499475330034381
16,0.0003410585015429363,1.69,0.7709178866429331,1.5001291610406522,1.448204628851154
17,0.0002641033744363036,1.69,0.7364082665412353,1.500132370646514,1.4466667754018399
18,0.00020959762937924867,1.69,0.7041000871184214,1.5001350131753597,1.4453325700451747
19,0.00017441964060867677,1.69,0.6741172918439711,1.5001370956655844,1.444199669366709
20,0.0001554170793401113,1.69,0.646565751870211,1.5001386276279458,1.4432647623695547
21,0.00014947995811898137,1.69,0.6215303109136645,1.5001396211014537,1.442523561782589
22,0.00015361402818576446,1.69,0.5990723501847717,1.500140090660824,1.441970814230422
23,0.00016501048111712007,1.69,0.5792280179788076,1.5001400533752405,1.4416003290305304
24,0.00018110794863391912,1.69,0.5620072176082436,1.5001395287191768,1.441405024748452
25,0.00019964328248591256,1.689412893299136,0.5473933877203573,1.5001385384373087,1.4413769920188677
26,0.00021842497897005017,1.6854990952051847,0.5353430684077358,1.5001371066601852,1.441507481041955
27,0.00023455588333692336,1.678412516014179,0.5257826063683358,1.5001352609984937,1.4417865911002665
28,0.00024675972462197005,1.668341780257824,0.5186107083000758,1.5001330319957544,1.442203461939824
29,0.00025425098043090077,1.655502415008697,0.5137015063272318,1.5001304525880632,1.4427464616920744
30,0.00025669094195935477,1.6401296282483406,0.5109079358166126,1.5001275575737947,1.4434033696098916
31,0.0002541278687343936,1.6224719659576763,0.5100652479728198,1.5001243830968847,1.444161552082358
32,0.00024692705560392964,1.6027887010169197,0.5109945153173786,1.5001209661474748,1.4450081304396705
33,0.00023569831059834916,1.5813427819902015,0.5135060366844036,1.5001173440821927,1.4459301407902099
34,0.00022121999841212065,1.5583970507251252,0.5174025765575166,1.5001135541687456,1.4469146846823562
35,0.0002043666221422137,1.5342113596077438,0.5224824076503243,1.5001096331577772,1.4479490702655455
36,0.000186041470595076,1.5090402546288153,0.5285421452215973,1.500105616884427,1.4490209430831331
37,0.0001671180462931501,1.4831310778510147,0.5353793761299843,1.5001015399016429,1.450118396799478
38,0.0001483955826901541,1.4567223405446101,0.5427951076193126,1.50009743514701,1.4512300909839508
39,0.00013056378089862383,1.4300434785342322,0.5505960553408972,1.5000933336450262,1.4523453497342746
40,0.00011417885488236531,1.4033120351722177,0.5585967872681271,1.5000892642446657,1.4534542474968097
41,9.964914069992958e-05,1.3767322956337718,0.566621725944695,1.5000852533943358,1.4545476829611
42,8.72311495078561e-05,1.3504942923234067,0.5745070030581266,1.5000813249549818,1.4556174407137534
43,7.703470142099471e-05,1.3247721049256933,0.582102150437251,1.5000775000523565,1.4566562402398777
44,6.903512675813907e-05,1.299722538233682,0.5892715973785196,1.5000737969707425,1.4576577714894705
45,6.309267653635137e-05,1.2754839483634135,0.5958959440803343,1.5000702310888474,1.4586167166313888
46,5.897663981496512e-05,1.2521752234871553,0.6018729819631029,1.5000668148573886,1.4595287579537088
47,5.639149681170816e-05,1.2298949765304847,0.6071184305442944,1.5000635578178978,1.460390571904199
48,5.500375780569482e-05,1.208721004146333,0.6115663660543027,1.500060466661719,1.4611998094796455
49,5.446780803474132e-05,1.1887100564437945,0.6151693259484586,1.500057545327513,1.461955063430606
50,5.444916832938661e-05,1.1698979492543153,0.6178980841172241,1.5000547951348908,1.4626558230133615
51,5.4643987206101966e-05,1.1523000348569983,0.6197411032708686,1.5000522149511146,1.4633024172879563
52,5.4793957468327566e-05,1.1359120295356582,0.6207036826372611,1.500049801387149,1.4638959482152436
53,5.4696193473088536e-05,1.1207111798473015,0.620806829323753,1.500047549018787,1.4644382150257436
54,5.420799955226678e-05,1.1066577359883651,0.6200858895509457,1.500045450628147,1.4649316315009955
55,5.324688857078227e-05,1.0936966894635038,0.6185889816271409,1.5000434974604746,1.465379137936104
56,5.178646829328991e-05,1.081759724903215,0.6163752755848164,1.5000416794910032,1.4657841096171496
57,4.984904731869486e-05,1.0707673317341726,0.6135131652189452,1.5000399856966045,1.4661502636591541
58,4.7495931230758946e-05,1.0606310204375333,0.6100783771806134,1.500038404327048,1.4664815660098431
59,4.481642276357935e-05,1.0512555896274742,0.6061520592946964,1.500036923170929,1.4667821403369752
60,4.191649963539843e-05,1.0425413931375376,0.6018188870034648,1.5000355298116548,1.4670561803922086
61,3.890803172395614e-05,1.0343865603494473,0.5971652231000564,1.5000342118693188,1.4673078672876718
62,3.5899240856886386e-05,1.0266891275528416,0.5922773620479265,1.5000329572247868,1.467541292941073
63,3.298691717629415e-05,1.0193490428578666,0.5872398863637972,1.5000317542228805,1.467760390748499
64,3.025070493478114e-05,1.0122700119437522,0.582134158833768,1.5000305918521324,1.4679688743373474
65,2.774957380814892e-05,1.0053611566992728,0.5770369707140941,1.5000294598991903,1.4681701850406732
66,2.5520413015144894e-05,0.9985384636745753,0.5720193624682341,1.5000283490765642,1.468367448523339
67,2.357853830008796e-05,0.991726004207865,0.5671456299531791,1.5000272511230022,1.4685634407843282
68,2.1919784106643287e-05,0.9848569133666363,0.5624725251884766,1.5000261588763681,1.468760563561202
69,2.0523783152590477e-05,0.9778741202882538,0.5580486569381518,1.5000250663194388,1.4689608289759408
70,1.9358001263705788e-05,0.9707308280869784,0.5539140923284744,1.5000239685995425,1.4691658530892322
71,1.8382098446268913e-05,0.9633907471167681,0.5501001566756936,1.500022862023432,1.4693768578739803
72,1.75522247118354e-05,0.9558280907926409,0.5466294247350234,1.5000217440291845,1.4695946809827298
73,1.682492040851872e-05,0.9480273482102173,0.5435158928219688,1.500020613137269,1.4698197925678327
74,1.6160370259759174e-05,0.9399828522561635,0.5407653178334626,1.500019468883206,1.4700523183191954
75,1.552484856371226e-05,0.9316981656066263,0.5383757062271689,1.500018311734465,1.470292067813212
76,1.4892281785743511e-05,0.9231853098645857,0.5363379335915468,1.5000171429943954,1.4705385672180622
77,1.4244937039896703e-05,0.914463865048878,0.5346364736127963,1.5000159646960727,1.4707910953745473
78,1.3573314875314641e-05,0.9055599677361457,0.5332502140383061,1.5000147794889649,1.4710487222671527
79,1.2875378205019424e-05,0.8965052364460898,0.532153336637471,1.5000135905212855,1.471310348915738
80,1.2155284224150717e-05,0.8873356524542044,0.5313162381329875,1.5000124013208038,1.4715747477525283
81,1.1421805339975765e-05,0.8780904230919812,0.5307064695952044,1.5000112156767391,1.4718406026006063
82,1.0686616863253771e-05,0.8688108531935091,0.5302896727283638,1.500010037525173,1.4721065474354427
83,9.962620080847162e-06,0.8595392484359423,0.5300304928387956,1.500008870840185,1.4723712031894554
84,9.262438459507334e-06,0.8503178721239664,0.5298934499707892,1.5000077195326558,1.4726332119483667
85,8.59718947067639e-06,0.8411879745381272,0.5298437516723064,1.5000065873583914,1.4728912679850246
86,7.975595596951703e-06,0.8321889113423789,0.5298480330605061,1.5000054778369234,1.473144145179197
87,7.403459160610068e-06,0.8233573647616377,0.5298750122507265,1.5000043941820127,1.4733907204784302
88,6.88349029904591e-06,0.8147266783323102,0.5298960517357054,1.5000033392445706,1.4736299931629973
89,6.415447978388478e-06,0.8063263130268209,0.5298856189126767,1.5000023154683892,1.4738610997852322
90,5.996532079464131e-06,0.7981814294915212,0.5298216416176397,1.5000013248587565,1.474083324758244
91,5.6219515580399846e-06,0.7903125981169631,0.5296857571438455,1.50000036896375,1.47429610666724
92,5.285589736753799e-06,0.7827356356430233,0.529463455784776,1.4999994488677157,1.4744990404701819
93,4.98068984689925e-06,0.775461564178148,0.5291441223533773,1.4999985651961925,1.4746918758376562
94,4.7004955649333114e-06,0.7684966868224231,0.5287209813661744,1.4999977181313262,1.4748745119088704
95,4.43879296191882e-06,0.7618427805703428,0.5281909535822088,1.4999969074366377,1.4750469884092212
96,4.190318752676639e-06,0.7554973490417041,0.5275544333865437,1.4999961324898505,1.4752094756301464
97,3.9510173224787395e-06,0.749453984604357,0.5268149974191355,1.4999953923224085,1.4753622609339936
98,3.7181472383582374e-06,0.7437027979343527,0.5259790564012499,1.4999946856642246,1.4755057335312791
99,3.4902495509465305e-06,0.7382308999625349,0.5250554626225395,1.4999940109921772,1.4756403680301373
100,3.267002729173259e-06,0.733022920796649,0.52405508586918,1.4999933665808856,1.475766707251887
101,3.0489958274820343e-06,0.7280615502624425,0.522990370546055,1.49999275055434,1.4758853447891211
102,2.837454402172703e-06,0.7233280851506175,0.521874886394581,1.4999921609370463,1.4759969077547013
103,2.6339528730415014e-06,0.7188029690536781,0.5207228845609384,1.4999915957034518,1.476102040132823
104,2.4401430920296718e-06,0.7144663117852853,0.5195488698620606,1.4999910528245508,1.4762013870984463
105,2.257522672320683e-06,0.710298376746819,0.5183671989682409,1.4999905303107233,1.4762955806204168
106,2.087259086117906e-06,0.7062800261900261,0.517191712914402,1.4999900262500194,1.4763852266082502
107,1.930077591496114e-06,0.7023931160508627,0.5160354109221965,1.4999895388412827,1.476470893805172
108,1.7862135313010514e-06,0.6986208338908376,0.5149101709774495,1.4999890664216768,1.4765531045702531
109,1.6554230991410893e-06,0.6949479754535762,0.513826520988355,1.4999886074883595,1.4766323276307738
110,1.5370418887434698e-06,0.6913611571280321,0.5127934628499049,1.4999881607142151,1.4767089728341118
111,1.4300774703228192e-06,0.6878489635044157,0.5118183501779853,1.4999877249577207,1.4767833878730519
