epoch,mse,theta1,theta2,theta3,theta4
1,0.04268613031956616,1.4500007818717249,1.54998964824884,1.4500000044351224,1.5499999410614305
2,0.036804488267997995,1.400145462615333,1.6000025110004987,1.4001448679485715,1.6000148010852742
3,0.03137720891412539,1.350585016227689,1.6499424840573467,1.350545577792521,1.649980315611614
4,0.026411797779847118,1.3014970234712293,1.69,1.3013250791538622,1.69
5,0.02198495165512431,1.2529993209855854,1.69,1.2526172234370663,1.69
6,0.018303875576124694,1.2048987328300813,1.69,1.2045564928830914,1.69
7,0.015032772449114152,1.1571341216785294,1.69,1.157284385963379,1.69
8,0.012154681965012876,1.1097184373299969,1.69,1.1109486234355153,1.69
9,0.009650922090671796,1.0627151141937183,1.69,1.0657020861071644,1.69
10,0.007501080277412561,1.0162279569152213,1.69,1.0217014316328565,1.69
11,0.005683057656338264,0.9703968785687732,1.69,0.9791053628258619,1.69
12,0.004173170152311313,0.9253962188672501,1.69,0.9380725421132923,1.69
13,0.0029463113232841933,0.881433966653178,1.69,0.8987591717273398,1.69
14,0.0019761802567887536,0.8387508192253358,1.69,0.861316287564623,1.69
15,0.0012355748685211523,0.7976182403198665,1.69,0.8258868446748371,1.69
16,0.0006967468585801249,0.7583347796220875,1.69,0.7926027009868696,1.69
17,0.00033180979240514846,0.7212200219849876,1.69,0.7615816292657089,1.69
18,0.00011318679312352085,0.6866057315066878,1.69,0.732924501431482,1.69
19,1.4079760188459885e-05,0.6548240986492448,1.69,0.7067127910201292,1.69
20,8.938486950368847e-06,0.6261934934380764,1.69,0.6830065270427363,1.69
21,7.390608189862324e-05,0.601002709638947,1.69,0.6618428062630278,1.69
22,0.00018721708482741337,0.5794952135750385,1.69,0.6432349336775302,1.69
23,0.0003295267674094107,0.5618552057980601,1.69,0.6271722173276226,1.69
24,0.00048415422557299413,0.54819721664916,1.69,0.6136203990837962,1.69
25,0.000637227660623424,0.5385604566769522,1.69,0.602522663239061,1.69
26,0.0007777271140179923,0.5329083524453344,1.69,0.5938011340623937,1.69
27,0.0008974270787863375,0.5311328510924379,1.6847339204274776,0.587358754529914,1.69
