epoch,mse,accuracy,theta1,theta2,theta3,theta4,sens_V5,sens_V4,sens_V3,sens_V2
60,0.6895840139407383,0.5,1.69,0.1,1.5306982655506762,0.1,4.247462452339957e-06,-0.0009158521682703811,2.6277894332940076e-10,-2.5759895609496894e-08
61,0.6895838320560971,,1.69,0.1,1.5311901852654475,0.1,4.247470820602032e-06,-0.0009158519147924182,2.6278000586856804e-10,-2.5759605060434368e-08
62,0.689583650220586,,1.69,0.1,1.5316819997209175,0.1,4.247479186966141e-06,-0.0009158516613714811,2.6278106763424267e-10,-2.5759314574664295e-08
63,0.6895834684311822,,1.69,0.1,1.5321737162488038,0.1,4.24748755157085e-06,-0.0009158514080033568,2.6278212864431387e-10,-2.575902414737393e-08
64,0.6895832866851658,,1.69,0.1,1.5326653414403504,0.1,4.247495914540858e-06,-0.0009158511546842739,2.627831889148581e-10,-2.575873377423612e-08
65,0.6895831049801004,,1.69,0.1,1.533156881221236,0.1,4.247504275988358e-06,-0.0009158509014108321,2.627842484603237e-10,-2.5758443451360108e-08
66,0.6895829233137906,,1.69,0.1,1.5336483409188482,0.1,4.247512636013968e-06,-0.0009158506481799892,2.627853072936999e-10,-2.575815317524956e-08
67,0.6895827416842624,,1.69,0.1,1.5341397253227114,0.1,4.247520994708308e-06,-0.0009158503949889912,2.627863654266611e-10,-2.5757862942760925e-08
68,0.6895825600897842,,1.69,0.1,1.5346310387387752,0.1,4.247529352152962e-06,-0.0009158501418353723,2.6278742286970034e-10,-2.5757572751066395e-08
69,0.6895823785288908,,1.69,0.1,1.535122285038196,0.1,4.247537708420969e-06,-0.0009158498887169224,2.6278847963225285e-10,-2.575728259762679e-08
70,0.6895821970001609,0.5,1.69,0.1,1.5356134677011744,0.1,4.247546063578241e-06,-0.0009158496356316368,2.627895357228004e-10,-2.5756992480156337e-08
71,0.6895820155023025,,1.69,0.1,1.5361045898563555,0.1,4.247554417683849e-06,-0.0009158493825777426,2.6279059114896837e-10,-2.5756702396602248e-08
72,0.6895818340341587,,1.69,0.1,1.536595654316248,0.1,4.2475627707910755e-06,-0.0009158491295536147,2.627916459176107e-10,-2.5756412345117766e-08
73,0.6895816525946789,,1.69,0.1,1.5370866636090637,0.1,4.247571122947852e-06,-0.0009158488765578024,2.6279270003488997e-10,-2.5756122324043226e-08
74,0.6895814711829371,,1.69,0.1,1.537577620007344,0.1,4.247579474196874e-06,-0.0009158486235890096,2.6279375350635e-10,-2.575583233188809e-08
75,0.689581289798099,,1.69,0.1,1.5380685255537005,0.1,4.247587824577062e-06,-0.0009158483706460642,2.627948063369697e-10,-2.5755542367310916e-08
76,0.6895811084395389,,1.69,0.1,1.5385593820839607,0.1,4.2475961741230575e-06,-0.0009158481177279059,2.627958585312311e-10,-2.575525242910619e-08
77,0.6895809271066075,,1.69,0.1,1.5390501912479837,0.1,4.247604522866011e-06,-0.0009158478648336032,2.627969100931612e-10,-2.5754962516192267e-08
78,0.6895807457986872,,1.69,0.1,1.5395409545283785,0.1,4.247612870833978e-06,-0.0009158476119623069,2.6279796102638243e-10,-2.5754672627596052e-08
79,0.6895805645152262,,1.69,0.1,1.5400316732573394,0.1,4.247621218052243e-06,-0.0009158473591132354,2.6279901133415165e-10,-2.57543827624424e-08
80,0.6895803832557323,0.5,1.69,0.1,1.540522348631787,0.1,4.2476295645433715e-06,-0.0009158471062857174,2.6280006101939993e-10,-2.575409291994549e-08
81,0.689580202019762,,1.69,0.1,1.5410129817269864,0.1,4.247637910327675e-06,-0.0009158468534791433,2.6280111008476135e-10,-2.5753803099400547e-08
82,0.6895800208069187,,1.69,0.1,1.5415035735087972,0.1,4.247646255423574e-06,-0.0009158466006929461,2.628021585326033e-10,-2.5753513300172684e-08
83,0.6895798396169556,,1.69,0.1,1.5419941248446938,0.1,4.247654599847404e-06,-0.00091584634792663,2.6280320636505767e-10,-2.5753223521693555e-08
84,0.689579658449596,,1.69,0.1,1.5424846365136768,0.1,4.247662943613861e-06,-0.000915846095179751,2.628042535840436e-10,-2.575293376345113e-08
85,0.6895794773045517,,1.69,0.1,1.5429751092151882,0.1,4.24767128673623e-06,-0.0009158458424519049,2.628053001912839e-10,-2.5752644024986818e-08
86,0.6895792961815619,,1.69,0.1,1.5434655435771298,0.1,4.247679629226406e-06,-0.0009158455897427436,2.6280634618832953e-10,-2.5752354305888897e-08
87,0.6895791150803909,,1.69,0.1,1.543955940163077,0.1,4.247687971095106e-06,-0.0009158453370519278,2.62807391576578e-10,-2.5752064605786825e-08
88,0.6895789340008298,,1.69,0.1,1.544446299478768,0.1,4.24769631235175e-06,-0.0009158450843791861,2.628084363572853e-10,-2.5751774924349726e-08
89,0.6895787529426889,,1.69,0.1,1.5449366219779423,0.1,4.247704653005054e-06,-0.0009158448317242428,2.6280948053158313e-10,-2.575148526127909e-08
90,0.6895785719058852,0.5,1.69,0.1,1.5454269080675918,0.1,4.247712993062677e-06,-0.00091584457908687,2.628105241004886e-10,-2.5751195616308947e-08
91,0.6895783908903366,,1.69,0.1,1.545917158112685,0.1,4.247721332531604e-06,-0.0009158443264668532,2.6281156706491866e-10,-2.5750905989198924e-08
92,0.6895782098959017,,1.69,0.1,1.5464073724404153,0.1,4.247729671417922e-06,-0.0009158440738640167,2.6281260942570007e-10,-2.5750616379734806e-08
93,0.6895780289224622,,1.69,0.1,1.546897551344024,0.1,4.247738009727252e-06,-0.0009158438212781762,2.6281365118357574e-10,-2.575032678772495e-08
94,0.6895778479699004,,1.69,0.1,1.5473876950862384,0.1,4.247746347464542e-06,-0.0009158435687091931,2.6281469233921626e-10,-2.575003721299673e-08
95,0.6895776670381256,,1.69,0.1,1.5478778039023637,0.1,4.247754684634299e-06,-0.0009158433161569294,2.6281573289322615e-10,-2.5749747655395708e-08
96,0.6895774861270417,,1.69,0.1,1.548367878003064,0.1,4.247763021240423e-06,-0.0009158430636212706,2.6281677284615195e-10,-2.5749458114784407e-08
97,0.6895773052366401,,1.69,0.1,1.548857917576865,0.1,4.247771357286584e-06,-0.0009158428111020942,2.6281781219848347e-10,-2.574916859103924e-08
98,0.6895771243669234,,1.69,0.1,1.5493479227924059,0.1,4.24777969277593e-06,-0.0009158425585993181,2.628188509506653e-10,-2.574887908404977e-08
99,0.6895769435178319,,1.69,0.1,1.5498378938004622,0.1,4.247788027711328e-06,-0.0009158423061128397,2.62819889103099e-10,-2.574858959371774e-08
100,0.6895767626893079,0.5,1.69,0.1,1.5503278307357675,0.1,4.247796362095313e-06,-0.000915842053642591,2.6282092665614836e-10,-2.574830011995443e-08
